0,58.73,887
1,123.11,59
2,4.45,318
3,9.85,540
4,18.23,300
5,94.74,511
6,21.50,89
7,75.58,274
8,13.31,445
9,71.76,106
10,11.61,466
11,177.27,258
12,203.45,947
13,96.67,888
14,123.82,15
15,74.35,408
16,39.37,831
17,103.06,356
18,67.97,631
19,392.13,26
20,9.04,90
21,106.08,563
22,156.19,147
23,66.57,324
24,607.00,353
25,62.57,721
26,365.26,199
27,110.57,705
28,41.78,538
29,73.03,355
30,127.87,156
31,58.98,828
32,281.20,202
33,91.94,746
34,17.84,376
35,298.87,718
36,105.22,94
37,135.59,463
38,345.73,420
39,70.18,953
40,1.37,133
41,37.24,59
42,228.18,643
43,2.00,2
44,101.70,336
45,4.50,107
46,19.59,503
47,149.26,843
48,15.03,598
49,74.29,351
50,137.86,757
51,135.08,10
52,0.07,285
53,245.76,632
54,26.78,553
55,4.88,582
56,0.32,297
57,103.02,137
58,190.89,894
59,74.30,802
60,1.37,79
61,69.93,270
62,63.96,86
63,147.37,981
64,72.58,175
65,75.92,710
66,379.46,749
67,111.26,818
68,34.18,903
69,55.09,547
70,165.42,532
71,4.24,839
72,71.18,786
73,186.22,76
74,77.40,351
75,77.29,364
76,297.72,183
77,289.03,90
78,12.95,258
79,320.67,231
80,4.36,154
81,5.45,223
82,12.35,208
83,110.81,968
84,17.64,710
85,20.35,440
86,306.52,162
87,143.33,415
88,362.07,39
89,0.42,513
90,6.86,359
91,107.99,783
92,49.27,984
93,16.59,10
94,57.07,162
95,14.94,920
96,138.29,756
97,7.38,666
98,77.92,456
99,323.41,92
100,18.89,577
101,86.67,320
102,181.73,162
103,9.49,292
104,12.15,611
105,17.82,888
106,27.24,756
107,15.71,807
108,182.00,652
109,70.46,181
110,63.92,795
111,85.00,393
112,11.57,996
113,10.80,632
114,5.32,260
115,62.79,29
116,18.73,60
117,22.32,79
118,418.56,464
119,12.62,551
120,12.07,757
121,160.16,600
122,36.87,637
123,8.72,561
124,12.28,685
125,68.60,215
126,154.64,14
127,62.83,662
128,170.25,0
129,216.56,173
130,26.41,443
131,122.93,390
132,105.96,869
133,287.20,336
134,92.17,472
135,2.87,395
136,113.23,237
137,9.68,293
138,37.88,648
139,94.17,420
140,25.70,371
141,189.75,151
142,0.75,682
143,54.27,592
144,237.42,231
145,170.77,855
146,32.21,343
147,43.93,166
148,81.65,867
149,78.31,8
150,36.58,653
151,68.02,284
152,38.95,874
153,146.83,537
154,412.60,467
155,269.72,658
156,18.89,546
157,44.57,724
158,62.76,39
159,113.27,146
